state,year,poor,core
Kentucky,2013,0.286724271,0.836640264
Kentucky,2014,0.275699068,0.838739078
Louisiana,1997,0.224050043,0.755057044
Louisiana,1998,0.221406419,0.729861785
Louisiana,1999,0.226452585,0.827379043
Louisiana,2000,0.217334074,0.780839316
Louisiana,2001,0.217759933,0.804561180
Louisiana,2002,0.224178231,0.477423307
Louisiana,2003,0.229453896,0.508825308
Louisiana,2004,0.204023959,0.434644800
Louisiana,2005,0.210143566,0.434753237
Louisiana,2006,0.225677227,0.405681668
Louisiana,2007,0.212870001,0.387792358
Louisiana,2008,0.213318545,0.456715418
Louisiana,2009,0.190163682,0.383983785
Louisiana,2010,0.212110597,0.263842436
Louisiana,2011,0.254530076,0.357499606
Louisiana,2012,0.258772388,0.132414359
Louisiana,2013,0.246359346,0.174824878
Louisiana,2014,0.267073890,0.167504151
Maine,1997,0.117005314,0.984405604
Maine,1998,0.116317513,0.817676595
Maine,1999,0.124100365,0.837445811
Maine,2000,0.117856048,0.918764298
Maine,2001,0.116822060,0.895269687
Maine,2002,0.148144791,0.871573065
Maine,2003,0.165628414,0.866913469
Maine,2004,0.142694159,0.855179307
Maine,2005,0.138800713,0.906795162
Maine,2006,0.135447399,0.888344173
Maine,2007,0.123678320,0.900538503
Maine,2008,0.136043691,0.942682240
Maine,2009,0.148833382,0.941335646
Maine,2010,0.151858228,0.837201660
Maine,2011,0.165478416,0.917324108
Maine,2012,0.172665252,0.912262621
Maine,2013,0.164217483,0.860831690
Maine,2014,0.176989967,0.845311198
Maryland,1997,0.101599725,0.874237170
Maryland,1998,0.075852764,0.779543783
Maryland,1999,0.065331340,0.817649796
Maryland,2000,0.069171748,0.816325437
Maryland,2001,0.067998350,0.799719296
Maryland,2002,0.063499156,0.714035117
Maryland,2003,0.078596212,0.494933218
Maryland,2004,0.092317432,0.537108251
Maryland,2005,0.101877856,0.513194541
Maryland,2006,0.100263610,0.467684643
Maryland,2007,0.090920743,0.412672237
Maryland,2008,0.090934989,0.440365924
Maryland,2009,0.093591946,0.331261091
Maryland,2010,0.113615241,0.352910608
Maryland,2011,0.115327349,0.343744567
Maryland,2012,0.108279873,0.387123867
Maryland,2013,0.119884035,0.348836876
Maryland,2014,0.118898826,0.311244467
Massachusetts,1997,0.143307808,0.790453376
Massachusetts,1998,0.137209187,0.721018857
Massachusetts,1999,0.123497430,0.729221304
Massachusetts,2000,0.123635571,0.772006374
Massachusetts,2001,0.103297891,0.761372221
Massachusetts,2002,0.099868446,0.729123348
Massachusetts,2003,0.101335127,0.746097311
Massachusetts,2004,0.094868834,0.757590453
Massachusetts,2005,0.104136472,0.758730173
Massachusetts,2006,0.120784652,0.675073506
Massachusetts,2007,0.136911879,0.679226795
Massachusetts,2008,0.144130216,0.590908447
Massachusetts,2009,0.135405479,0.573232508
Massachusetts,2010,0.127447200,0.575684955
Massachusetts,2011,0.125726862,0.571872776
Massachusetts,2012,0.143387636,0.572793201
Massachusetts,2013,0.150740314,0.563516241
Massachusetts,2014,0.149667862,0.566123251
Michigan,1997,0.148575650,0.790706849
Michigan,1998,0.132373129,0.781474236
Michigan,1999,0.121776884,0.783205346
Michigan,2000,0.110101589,0.719479946
Michigan,2001,0.105829681,0.636199346
Michigan,2002,0.119487901,0.586104720
Michigan,2003,0.137889267,0.608964514
Michigan,2004,0.152212530,0.605916442
Michigan,2005,0.144519832,0.633975644
Michigan,2006,0.150687496,0.603322537
Michigan,2007,0.157780685,0.564615932
Michigan,2008,0.155096829,0.483010109
Michigan,2009,0.177783160,0.391861901
Michigan,2010,0.184195234,0.405565888
